first_name,last_name,price,above_100
William,Dixon,109.0372796,1
Kristen,Horn,262.5246522,1
Kimberly,Chang,187.0072583,1
Mary,Ball,283.1746476,1
Benjamin,Craig,143.8715817,1
Cathy,Werner,61.50899135,0
Brandon,Bell,48.6373091,0
Paul,Farley,12.38946479,0
Sarah,Mcdaniel,151.5954472,1
Caroline,Anderson,75.62152103,0
Carl,Jones,147.0294047,1
Scott,Lee,244.1856527,1
Kaylee,Coleman,17.86427032,0
Charles,Parker,215.537283,1
Susan,Hess,38.35997063,0
Kiara,Collier,204.1825486,1
Scott,Martinez,165.8514289,1
Christopher,Ortega,30.30144506,0
Michael,Russell,243.1724911,1
Dwayne,Johnson,287.4932856,1
Patty,Smith,180.2344257,1
Deanna,Sherman,99.79911842,0
Douglas,Francis,161.7688908,1
Vicki,Diaz,18.64987672,0
Robin,Phillips,244.9119836,1
Travis,Rice,141.4988254,1
Ashley,Rocha,50.00303731,0
Sarah,Jacobson,80.48182457,0
Kayla,Shannon,98.91531394,0
Sean,Wang DDS,220.6282177,1
Richard,Estrada,49.16869151,0
Joseph,Torres,150.1237842,1
Kim,Jones,18.8434377,0
Melissa,Tanner,269.1840299,1
Jackson,Cline,64.31251721,0
Sonya,Foster,296.2155012,1
Allen,Williams,15.3908317,0
Thomas,Rivera,95.22843716,0
Jamie,Silva,296.8244075,1
Kathleen,Moore,92.50052419,0
Evelyn,Pineda,169.2289293,1
Kyle,Peters,106.7990952,1
Anthony,Cruz,49.10199817,0
Eric,Flores,122.9556986,1
Anna,Richardson,254.4952606,1
Gary,Harper,47.59652592,0
Linda,Johnson,115.3627815,1
Melissa,Smith,87.97994846,0
Kristen,Floyd,135.0230413,1
William,Diaz,192.1491355,1
Benjamin,Smith,134.9052939,1
David,Glenn,216.2910463,1
Dawn,Jones,271.6144999,1
Joel,Smith,14.4949198,0
Larry,Grimes MD,268.6758682,1
Joseph,Arnold,121.7750468,1
Kyle,Long,241.6216391,1
Brittany,Day,261.5460574,1
Bobby,Ward,63.5130358,0
Thomas,Lee,254.0755771,1
Jennifer,Hansen,101.4887352,1
Lisa,Murray,176.0919174,1
Meghan,Wade,273.2303409,1
Tammie,Brooks,84.88856949,0
Maria,Bell,264.0746652,1
Allison,Livingston,130.3484426,1
Chris,Hays,17.34276379,0
Courtney,Mitchell,78.93257699,0
Shawn,White,188.0219256,1
Taylor,Gomez,225.0198237,1
Jeremy,Rodriguez,200.7248208,1
April,Garcia,66.24555967,0
Zachary,Watts,15.49738786,0
Sarah,Montoya,206.8212547,1
Jennifer,Barker,89.18615989,0
Sharon,Garza,72.35772704,0
Tiffany,Stevens,196.379322,1
Ruben,Armstrong,93.69836738,0
Jeffrey,Spencer,271.162282,1
Nicole,Ramsey,247.8596071,1
Anne,Roy,277.9324821,1
